Date,Team 1,FT,Team 2,Season
Apr 4 1964,1. FC Kaiserslautern,0-1,Borussia Dortmund,1963-64
Apr 4 1964,1. FC Nürnberg,0-0,VfB Stuttgart,1963-64
Apr 4 1964,Karlsruher SC,1-0,TSV 1860 Munich,1963-64
Apr 11 1964,1. FC Köln,5-0,1. FC Nürnberg,1963-64
Apr 11 1964,Eintracht Braunschweig,0-1,1. FC Kaiserslautern,1963-64
Apr 11 1964,1. FC Saarbrücken,3-0,Hertha BSC,1963-64
Apr 11 1964,VfB Stuttgart,2-2,Hamburger SV,1963-64
Apr 11 1964,Borussia Dortmund,0-0,MSV Duisburg,1963-64
Apr 11 1964,TSV 1860 Munich,1-1,Eintracht Frankfurt,1963-64
Apr 11 1964,FC Schalke 04,1-2,Preußen Münster,1963-64
Apr 11 1964,Werder Bremen,0-0,Karlsruher SC,1963-64
Apr 15 1964,Hertha BSC,5-2,Werder Bremen,1963-64
Apr 18 1964,1. FC Köln,5-2,Borussia Dortmund,1963-64
Apr 18 1964,MSV Duisburg,0-0,1. FC Nürnberg,1963-64
Apr 18 1964,Eintracht Braunschweig,2-0,VfB Stuttgart,1963-64
Apr 18 1964,Karlsruher SC,1-1,Hertha BSC,1963-64
Apr 18 1964,TSV 1860 Munich,7-1,FC Schalke 04,1963-64
Apr 18 1964,Hamburger SV,7-3,1. FC Kaiserslautern,1963-64
Apr 18 1964,1. FC Saarbrücken,3-2,Werder Bremen,1963-64
Apr 18 1964,Preußen Münster,1-3,Eintracht Frankfurt,1963-64
Apr 25 1964,VfB Stuttgart,1-2,MSV Duisburg,1963-64
Apr 25 1964,1. FC Kaiserslautern,3-3,1. FC Köln,1963-64
Apr 25 1964,Eintracht Frankfurt,3-1,1. FC Saarbrücken,1963-64
Apr 25 1964,Hertha BSC,3-1,TSV 1860 Munich,1963-64
Apr 25 1964,1. FC Nürnberg,1-0,Eintracht Braunschweig,1963-64
Apr 25 1964,Werder Bremen,4-2,Preußen Münster,1963-64
Apr 25 1964,FC Schalke 04,2-1,Karlsruher SC,1963-64
May 5 1964,Borussia Dortmund,5-2,Hamburger SV,1963-64
May 9 1964,1. FC Köln,2-1,VfB Stuttgart,1963-64
May 9 1964,Hamburger SV,2-2,1. FC Nürnberg,1963-64
May 9 1964,Eintracht Braunschweig,2-0,Borussia Dortmund,1963-64
May 9 1964,Karlsruher SC,1-2,Eintracht Frankfurt,1963-64
May 9 1964,TSV 1860 Munich,3-2,Werder Bremen,1963-64
May 9 1964,1. FC Saarbrücken,1-1,FC Schalke 04,1963-64
May 9 1964,Preußen Münster,4-2,Hertha BSC,1963-64
May 9 1964,MSV Duisburg,3-0,1. FC Kaiserslautern,1963-64
Aug 22 1964,Eintracht Frankfurt,2-2,FC Schalke 04,1964-65
Aug 22 1964,1. FC Kaiserslautern,2-1,Werder Bremen,1964-65
Aug 22 1964,Hamburger SV,2-2,VfB Stuttgart,1964-65
Aug 22 1964,Borussia Dortmund,0-2,Hannover 96,1964-65
Aug 22 1964,Eintracht Braunschweig,1-1,TSV 1860 Munich,1964-65
Aug 22 1964,Karlsruher SC,2-1,MSV Duisburg,1964-65
Aug 22 1964,1. FC Nürnberg,2-0,VfB Borussia Neunkirchen,1964-65
Aug 22 1964,1. FC Köln,2-3,Hertha BSC,1964-65
Aug 29 1964,VfB Stuttgart,3-1,1. FC Nürnberg,1964-65
Aug 29 1964,Hannover 96,2-0,1. FC Köln,1964-65
Aug 29 1964,Hertha BSC,0-0,Hamburger SV,1964-65
Aug 29 1964,FC Schalke 04,1-1,Karlsruher SC,1964-65
Aug 29 1964,VfB Borussia Neunkirchen,1-2,Borussia Dortmund,1964-65
Aug 29 1964,MSV Duisburg,3-1,1. FC Kaiserslautern,1964-65
Aug 29 1964,Werder Bremen,5-1,Eintracht Braunschweig,1964-65
Aug 29 1964,TSV 1860 Munich,0-1,Eintracht Frankfurt,1964-65
Sep 5 1964,Hamburger SV,3-0,Hannover 96,1964-65
Sep 5 1964,1. FC Köln,4-3,VfB Borussia Neunkirchen,1964-65
Sep 5 1964,1. FC Nürnberg,2-0,Hertha BSC,1964-65
Sep 5 1964,Karlsruher SC,1-5,TSV 1860 Munich,1964-65
Sep 5 1964,Eintracht Frankfurt,0-2,Werder Bremen,1964-65
Sep 5 1964,1. FC Kaiserslautern,3-0,FC Schalke 04,1964-65
Sep 5 1964,Eintracht Braunschweig,0-1,MSV Duisburg,1964-65
Sep 11 1964,Borussia Dortmund,1-0,VfB Stuttgart,1964-65
Sep 12 1964,VfB Stuttgart,3-3,1. FC Köln,1964-65
Sep 12 1964,Hannover 96,2-2,1. FC Nürnberg,1964-65
Sep 12 1964,MSV Duisburg,1-3,Eintracht Frankfurt,1964-65
Sep 12 1964,TSV 1860 Munich,2-2,1. FC Kaiserslautern,1964-65
Sep 12 1964,FC Schalke 04,0-3,Eintracht Braunschweig,1964-65
Sep 12 1964,Werder Bremen,1-0,Karlsruher SC,1964-65
Sep 12 1964,VfB Borussia Neunkirchen,3-1,Hamburger SV,1964-65
Sep 12 1964,Hertha BSC,0-0,Borussia Dortmund,1964-65
Sep 19 1964,1. FC Nürnberg,3-2,FC Schalke 04,1964-65
Sep 19 1964,Hamburger SV,3-0,MSV Duisburg,1964-65
Sep 19 1964,1. FC Köln,4-2,Werder Bremen,1964-65
Sep 19 1964,VfB Stuttgart,1-1,Hertha BSC,1964-65
Sep 19 1964,Borussia Dortmund,1-1,TSV 1860 Munich,1964-65
Sep 19 1964,1. FC Kaiserslautern,1-0,Hannover 96,1964-65
Sep 19 1964,Eintracht Braunschweig,1-0,VfB Borussia Neunkirchen,1964-65
Sep 19 1964,Eintracht Frankfurt,0-7,Karlsruher SC,1964-65
Sep 26 1964,VfB Borussia Neunkirchen,0-3,1. FC Kaiserslautern,1964-65
Sep 26 1964,TSV 1860 Munich,2-0,1. FC Nürnberg,1964-65
Sep 26 1964,Werder Bremen,0-0,Hamburger SV,1964-65
Sep 26 1964,MSV Duisburg,0-3,1. FC Köln,1964-65
Sep 26 1964,FC Schalke 04,2-6,Borussia Dortmund,1964-65
Sep 26 1964,Karlsruher SC,0-0,VfB Stuttgart,1964-65
Sep 26 1964,Hertha BSC,1-3,Eintracht Frankfurt,1964-65
Sep 26 1964,Hannover 96,2-2,Eintracht Braunschweig,1964-65
Oct 10 1964,Hertha BSC,2-1,TSV 1860 Munich,1964-65
Oct 10 1964,1. FC Köln,5-1,Eintracht Braunschweig,1964-65
Oct 10 1964,Borussia Dortmund,3-2,1. FC Kaiserslautern,1964-65
Oct 10 1964,1. FC Nürnberg,4-1,Karlsruher SC,1964-65
Oct 10 1964,Hannover 96,1-2,Werder Bremen,1964-65
Oct 10 1964,Hamburger SV,2-1,Eintracht Frankfurt,1964-65
Oct 10 1964,VfB Stuttgart,2-1,FC Schalke 04,1964-65
Oct 10 1964,VfB Borussia Neunkirchen,4-2,MSV Duisburg,1964-65
Oct 17 1964,TSV 1860 Munich,4-0,Hannover 96,1964-65
Oct 17 1964,FC Schalke 04,3-0,Hertha BSC,1964-65
Oct 17 1964,1. FC Kaiserslautern,3-2,1. FC Nürnberg,1964-65
Oct 17 1964,Karlsruher SC,2-2,Hamburger SV,1964-65
Oct 17 1964,MSV Duisburg,3-3,VfB Stuttgart,1964-65
Oct 17 1964,Eintracht Braunschweig,0-1,Borussia Dortmund,1964-65
Oct 17 1964,Werder Bremen,2-0,VfB Borussia Neunkirchen,1964-65
Oct 17 1964,Eintracht Frankfurt,1-4,1. FC Köln,1964-65
Oct 24 1964,Hamburger SV,3-2,1. FC Kaiserslautern,1964-65
Oct 24 1964,Hertha BSC,2-2,MSV Duisburg,1964-65
Oct 24 1964,Borussia Dortmund,1-3,Eintracht Frankfurt,1964-65
Oct 24 1964,1. FC Nürnberg,3-2,Eintracht Braunschweig,1964-65
Oct 24 1964,VfB Stuttgart,1-1,Werder Bremen,1964-65
Oct 24 1964,VfB Borussia Neunkirchen,3-0,TSV 1860 Munich,1964-65
Oct 24 1964,1. FC Köln,4-1,Karlsruher SC,1964-65
Oct 24 1964,Hannover 96,1-0,FC Schalke 04,1964-65
Nov 7 1964,Eintracht Braunschweig,2-0,Hamburger SV,1964-65
Nov 7 1964,Karlsruher SC,2-0,Borussia Dortmund,1964-65
Nov 7 1964,Eintracht Frankfurt,1-1,1. FC Nürnberg,1964-65
Nov 7 1964,TSV 1860 Munich,1-0,VfB Stuttgart,1964-65
Nov 7 1964,MSV Duisburg,1-0,Hannover 96,1964-65
Nov 7 1964,1. FC Kaiserslautern,2-2,1. FC Köln,1964-65
Nov 7 1964,FC Schalke 04,1-1,VfB Borussia Neunkirchen,1964-65
Nov 7 1964,Werder Bremen,5-1,Hertha BSC,1964-65
Nov 14 1964,Hertha BSC,5-3,1. FC Kaiserslautern,1964-65
Nov 14 1964,1. FC Köln,1-1,TSV 1860 Munich,1964-65
Nov 14 1964,Werder Bremen,2-2,FC Schalke 04,1964-65
Nov 14 1964,VfB Stuttgart,3-1,Eintracht Braunschweig,1964-65
Nov 14 1964,1. FC Nürnberg,2-3,Hamburger SV,1964-65
Nov 14 1964,Hannover 96,3-2,Eintracht Frankfurt,1964-65
Nov 19 1964,Borussia Dortmund,0-0,MSV Duisburg,1964-65
Nov 21 1964,1. FC Kaiserslautern,2-1,VfB Stuttgart,1964-65
Nov 21 1964,Eintracht Frankfurt,1-0,VfB Borussia Neunkirchen,1964-65
Nov 21 1964,FC Schalke 04,2-3,1. FC Köln,1964-65
Nov 21 1964,Hamburger SV,1-4,Borussia Dortmund,1964-65
Nov 21 1964,MSV Duisburg,2-0,1. FC Nürnberg,1964-65
Nov 21 1964,TSV 1860 Munich,3-1,Werder Bremen,1964-65
Nov 21 1964,Karlsruher SC,2-3,Hannover 96,1964-65
Nov 21 1964,Eintracht Braunschweig,1-1,Hertha BSC,1964-65
Nov 28 1964,Eintracht Braunschweig,2-0,1. FC Kaiserslautern,1964-65
Nov 28 1964,Hertha BSC,2-1,Karlsruher SC,1964-65
Nov 28 1964,1. FC Köln,3-0,Hamburger SV,1964-65
Nov 28 1964,1. FC Nürnberg,1-0,Borussia Dortmund,1964-65
Nov 28 1964,FC Schalke 04,2-2,TSV 1860 Munich,1964-65
Nov 28 1964,VfB Stuttgart,1-2,Eintracht Frankfurt,1964-65
Nov 28 1964,VfB Borussia Neunkirchen,2-1,Hannover 96,1964-65
