Date,Team 1,FT,Team 2,Season
Feb 18 2019,TSV 1860 Munich,2-1,VfR Aalen,2018-19
Feb 22 2019,VfR Aalen,1-1,SG Großaspach,2018-19
Feb 23 2019,VfL Osnabrück,2-0,Hallescher FC,2018-19
Feb 23 2019,FC Carl Zeiss Jena,0-1,Fortuna Köln,2018-19
Feb 23 2019,Hansa Rostock,0-2,SV Meppen,2018-19
Feb 23 2019,Energie Cottbus,1-2,TSV 1860 Munich,2018-19
Feb 23 2019,SF Lotte,0-0,Karlsruher SC,2018-19
Feb 23 2019,Eintracht Braunschweig,1-0,SpVgg Unterhaching,2018-19
Feb 24 2019,1. FC Kaiserslautern,1-1,FSV Zwickau,2018-19
Feb 24 2019,SV Wehen Wiesbaden,0-2,Würzburger Kickers,2018-19
Feb 25 2019,KFC Uerdingen,0-0,Preußen Münster,2018-19
Feb 27 2019,VfR Aalen,4-1,SpVgg Unterhaching,2018-19
Mar 1 2019,Hallescher FC,4-0,KFC Uerdingen,2018-19
Mar 2 2019,FSV Zwickau,0-2,SF Lotte,2018-19
Mar 2 2019,SG Großaspach,0-0,Energie Cottbus,2018-19
Mar 2 2019,Karlsruher SC,2-1,VfL Osnabrück,2018-19
Mar 2 2019,SV Meppen,1-1,SV Wehen Wiesbaden,2018-19
Mar 2 2019,Preußen Münster,4-0,VfR Aalen,2018-19
Mar 2 2019,Fortuna Köln,2-2,1. FC Kaiserslautern,2018-19
Mar 3 2019,TSV 1860 Munich,1-2,Hansa Rostock,2018-19
Mar 3 2019,FC Carl Zeiss Jena,0-0,Eintracht Braunschweig,2018-19
Mar 4 2019,Würzburger Kickers,0-1,SpVgg Unterhaching,2018-19
Mar 8 2019,KFC Uerdingen,1-3,Karlsruher SC,2018-19
Mar 9 2019,Energie Cottbus,3-0,Preußen Münster,2018-19
Mar 9 2019,Eintracht Braunschweig,2-2,Würzburger Kickers,2018-19
Mar 9 2019,VfL Osnabrück,3-0,FSV Zwickau,2018-19
Mar 9 2019,SpVgg Unterhaching,0-1,SV Meppen,2018-19
Mar 9 2019,SV Wehen Wiesbaden,0-1,TSV 1860 Munich,2018-19
Mar 9 2019,SF Lotte,1-2,Fortuna Köln,2018-19
Mar 9 2019,Hansa Rostock,0-0,SG Großaspach,2018-19
Mar 10 2019,1. FC Kaiserslautern,4-1,FC Carl Zeiss Jena,2018-19
Mar 10 2019,VfR Aalen,0-1,Hallescher FC,2018-19
Mar 12 2019,Preußen Münster,0-1,Hansa Rostock,2018-19
Mar 12 2019,Fortuna Köln,0-0,VfL Osnabrück,2018-19
Mar 12 2019,TSV 1860 Munich,1-0,SpVgg Unterhaching,2018-19
Mar 12 2019,FSV Zwickau,2-0,KFC Uerdingen,2018-19
Mar 12 2019,SV Meppen,1-1,Würzburger Kickers,2018-19
Mar 13 2019,1. FC Kaiserslautern,0-0,Eintracht Braunschweig,2018-19
Mar 13 2019,Karlsruher SC,0-3,VfR Aalen,2018-19
Mar 13 2019,SG Großaspach,2-3,SV Wehen Wiesbaden,2018-19
Mar 13 2019,Hallescher FC,2-3,Energie Cottbus,2018-19
Mar 13 2019,FC Carl Zeiss Jena,1-1,SF Lotte,2018-19
Mar 15 2019,KFC Uerdingen,1-1,Fortuna Köln,2018-19
Mar 16 2019,SF Lotte,0-2,1. FC Kaiserslautern,2018-19
Mar 16 2019,SpVgg Unterhaching,0-0,SG Großaspach,2018-19
Mar 16 2019,VfL Osnabrück,3-1,FC Carl Zeiss Jena,2018-19
Mar 16 2019,SV Wehen Wiesbaden,2-0,Preußen Münster,2018-19
Mar 16 2019,Würzburger Kickers,2-1,TSV 1860 Munich,2018-19
Mar 16 2019,VfR Aalen,1-1,FSV Zwickau,2018-19
Mar 17 2019,Energie Cottbus,0-2,Karlsruher SC,2018-19
Mar 17 2019,Eintracht Braunschweig,3-0,SV Meppen,2018-19
Mar 18 2019,Hansa Rostock,1-1,Hallescher FC,2018-19
Mar 20 2019,SpVgg Unterhaching,0-0,Energie Cottbus,2018-19
Mar 22 2019,Fortuna Köln,1-1,VfR Aalen,2018-19
Mar 23 2019,FC Carl Zeiss Jena,0-0,KFC Uerdingen,2018-19
Mar 23 2019,Hallescher FC,1-4,SV Wehen Wiesbaden,2018-19
Mar 23 2019,Preußen Münster,3-0,SpVgg Unterhaching,2018-19
Mar 23 2019,TSV 1860 Munich,1-0,SV Meppen,2018-19
Mar 23 2019,SG Großaspach,2-1,Würzburger Kickers,2018-19
Mar 23 2019,Karlsruher SC,1-1,Hansa Rostock,2018-19
Mar 24 2019,1. FC Kaiserslautern,1-3,VfL Osnabrück,2018-19
Mar 24 2019,SF Lotte,0-1,Eintracht Braunschweig,2018-19
Mar 25 2019,FSV Zwickau,2-1,Energie Cottbus,2018-19
Mar 29 2019,KFC Uerdingen,2-4,1. FC Kaiserslautern,2018-19
Mar 30 2019,SV Meppen,2-1,SG Großaspach,2018-19
Mar 30 2019,Energie Cottbus,4-3,Fortuna Köln,2018-19
Mar 30 2019,SpVgg Unterhaching,0-0,Hallescher FC,2018-19
Mar 30 2019,Eintracht Braunschweig,1-1,TSV 1860 Munich,2018-19
Mar 30 2019,Hansa Rostock,3-1,FSV Zwickau,2018-19
Mar 30 2019,Würzburger Kickers,3-2,Preußen Münster,2018-19
Mar 31 2019,VfR Aalen,1-1,FC Carl Zeiss Jena,2018-19
Mar 31 2019,SV Wehen Wiesbaden,2-0,Karlsruher SC,2018-19
Apr 1 2019,VfL Osnabrück,1-0,SF Lotte,2018-19
Apr 5 2019,Preußen Münster,1-1,SV Meppen,2018-19
Apr 6 2019,Hallescher FC,1-0,Würzburger Kickers,2018-19
Apr 6 2019,FSV Zwickau,2-1,SV Wehen Wiesbaden,2018-19
Apr 6 2019,Karlsruher SC,4-0,SpVgg Unterhaching,2018-19
Apr 6 2019,FC Carl Zeiss Jena,2-1,Energie Cottbus,2018-19
Apr 6 2019,1. FC Kaiserslautern,0-1,VfR Aalen,2018-19
Apr 6 2019,SF Lotte,1-3,KFC Uerdingen,2018-19
Apr 7 2019,Fortuna Köln,1-1,Hansa Rostock,2018-19
Apr 7 2019,VfL Osnabrück,1-0,Eintracht Braunschweig,2018-19
Apr 8 2019,SG Großaspach,1-0,TSV 1860 Munich,2018-19
Apr 12 2019,SV Meppen,0-2,Hallescher FC,2018-19
Apr 13 2019,SV Wehen Wiesbaden,3-0,Fortuna Köln,2018-19
Apr 13 2019,Eintracht Braunschweig,1-1,SG Großaspach,2018-19
Apr 13 2019,Energie Cottbus,1-1,1. FC Kaiserslautern,2018-19
Apr 13 2019,Hansa Rostock,1-2,FC Carl Zeiss Jena,2018-19
Apr 13 2019,TSV 1860 Munich,0-1,Preußen Münster,2018-19
Apr 13 2019,VfR Aalen,1-2,SF Lotte,2018-19
Apr 14 2019,SpVgg Unterhaching,0-1,FSV Zwickau,2018-19
Apr 14 2019,KFC Uerdingen,1-3,VfL Osnabrück,2018-19
Apr 15 2019,Würzburger Kickers,0-0,Karlsruher SC,2018-19
Apr 20 2019,VfL Osnabrück,2-0,VfR Aalen,2018-19
Apr 20 2019,FSV Zwickau,2-0,Würzburger Kickers,2018-19
Apr 20 2019,Hallescher FC,3-0,TSV 1860 Munich,2018-19
Apr 20 2019,Preußen Münster,1-0,SG Großaspach,2018-19
Apr 20 2019,Karlsruher SC,3-1,SV Meppen,2018-19
Apr 20 2019,Fortuna Köln,1-1,SpVgg Unterhaching,2018-19
Apr 20 2019,FC Carl Zeiss Jena,3-1,SV Wehen Wiesbaden,2018-19
Apr 21 2019,1. FC Kaiserslautern,0-2,Hansa Rostock,2018-19
Apr 21 2019,SF Lotte,0-3,Energie Cottbus,2018-19
Apr 22 2019,KFC Uerdingen,0-3,Eintracht Braunschweig,2018-19
Apr 26 2019,SG Großaspach,1-1,Hallescher FC,2018-19
Apr 27 2019,TSV 1860 Munich,0-2,Karlsruher SC,2018-19
Apr 27 2019,Energie Cottbus,1-2,VfL Osnabrück,2018-19
Apr 27 2019,Hansa Rostock,0-0,SF Lotte,2018-19
Apr 27 2019,SV Meppen,2-0,FSV Zwickau,2018-19
Apr 27 2019,Würzburger Kickers,2-0,Fortuna Köln,2018-19
Apr 27 2019,VfR Aalen,2-4,KFC Uerdingen,2018-19
Apr 28 2019,SpVgg Unterhaching,0-1,FC Carl Zeiss Jena,2018-19
Apr 28 2019,Eintracht Braunschweig,3-3,Preußen Münster,2018-19
Apr 29 2019,SV Wehen Wiesbaden,2-0,1. FC Kaiserslautern,2018-19
May 3 2019,VfL Osnabrück,1-2,Hansa Rostock,2018-19
May 4 2019,FC Carl Zeiss Jena,3-4,Würzburger Kickers,2018-19
May 4 2019,SF Lotte,0-1,SV Wehen Wiesbaden,2018-19
May 4 2019,Hallescher FC,1-2,Preußen Münster,2018-19
May 4 2019,FSV Zwickau,5-2,TSV 1860 Munich,2018-19
May 4 2019,1. FC Kaiserslautern,4-0,SpVgg Unterhaching,2018-19
May 4 2019,Karlsruher SC,2-1,SG Großaspach,2018-19
May 5 2019,KFC Uerdingen,1-2,Energie Cottbus,2018-19
May 5 2019,VfR Aalen,1-3,Eintracht Braunschweig,2018-19
May 6 2019,Fortuna Köln,1-1,SV Meppen,2018-19
May 11 2019,Preußen Münster,1-4,Karlsruher SC,2018-19
May 11 2019,SG Großaspach,5-2,FSV Zwickau,2018-19
May 11 2019,SV Wehen Wiesbaden,1-0,VfL Osnabrück,2018-19
May 11 2019,SpVgg Unterhaching,3-0,SF Lotte,2018-19
May 11 2019,Energie Cottbus,2-1,VfR Aalen,2018-19
May 11 2019,Würzburger Kickers,2-0,1. FC Kaiserslautern,2018-19
May 11 2019,Hansa Rostock,1-1,KFC Uerdingen,2018-19
May 11 2019,TSV 1860 Munich,3-2,Fortuna Köln,2018-19
May 11 2019,SV Meppen,0-1,FC Carl Zeiss Jena,2018-19
May 11 2019,Hallescher FC,1-0,Eintracht Braunschweig,2018-19
May 18 2019,VfR Aalen,1-1,Hansa Rostock,2018-19
May 18 2019,Eintracht Braunschweig,1-1,Energie Cottbus,2018-19
May 18 2019,Fortuna Köln,0-2,SG Großaspach,2018-19
May 18 2019,Karlsruher SC,2-3,Hallescher FC,2018-19
May 18 2019,VfL Osnabrück,1-4,SpVgg Unterhaching,2018-19
May 18 2019,SF Lotte,1-2,Würzburger Kickers,2018-19
May 18 2019,KFC Uerdingen,2-3,SV Wehen Wiesbaden,2018-19
May 18 2019,FC Carl Zeiss Jena,4-0,TSV 1860 Munich,2018-19
May 18 2019,FSV Zwickau,2-0,Preußen Münster,2018-19
May 18 2019,1. FC Kaiserslautern,4-2,SV Meppen,2018-19
Aug 16 2019,Bayern Munich,2-2,Hertha BSC,2019-20
Aug 17 2019,Werder Bremen,1-3,Fortuna Düsseldorf,2019-20
Aug 17 2019,SC Freiburg,3-0,1. FSV Mainz 05,2019-20
Aug 17 2019,Bayer 04 Leverkusen,3-2,SC Paderborn 07,2019-20
Aug 17 2019,Borussia Dortmund,5-1,FC Augsburg,2019-20
Aug 17 2019,VfL Wolfsburg,2-1,1. FC Köln,2019-20
Aug 17 2019,Bor. Mönchengladbach,0-0,FC Schalke 04,2019-20
Aug 18 2019,Eintracht Frankfurt,1-0,TSG 1899 Hoffenheim,2019-20
Aug 18 2019,1. FC Union Berlin,0-4,RB Leipzig,2019-20
Aug 23 2019,1. FC Köln,1-3,Borussia Dortmund,2019-20
Aug 24 2019,Fortuna Düsseldorf,1-3,Bayer 04 Leverkusen,2019-20
Aug 24 2019,1. FSV Mainz 05,1-3,Bor. Mönchengladbach,2019-20
Aug 24 2019,FC Augsburg,1-1,1. FC Union Berlin,2019-20
Aug 24 2019,SC Paderborn 07,1-3,SC Freiburg,2019-20
Aug 24 2019,TSG 1899 Hoffenheim,3-2,Werder Bremen,2019-20
Aug 24 2019,FC Schalke 04,0-3,Bayern Munich,2019-20
Aug 25 2019,RB Leipzig,2-1,Eintracht Frankfurt,2019-20
Aug 25 2019,Hertha BSC,0-3,VfL Wolfsburg,2019-20
Aug 30 2019,Bor. Mönchengladbach,1-3,RB Leipzig,2019-20
Aug 31 2019,FC Schalke 04,3-0,Hertha BSC,2019-20
Aug 31 2019,SC Freiburg,1-2,1. FC Köln,2019-20
Aug 31 2019,Bayer 04 Leverkusen,0-0,TSG 1899 Hoffenheim,2019-20
Aug 31 2019,Bayern Munich,6-1,1. FSV Mainz 05,2019-20
Aug 31 2019,VfL Wolfsburg,1-1,SC Paderborn 07,2019-20
Aug 31 2019,1. FC Union Berlin,3-1,Borussia Dortmund,2019-20
Sep 1 2019,Werder Bremen,3-2,FC Augsburg,2019-20
Sep 1 2019,Eintracht Frankfurt,2-1,Fortuna Düsseldorf,2019-20
Sep 13 2019,Fortuna Düsseldorf,1-1,VfL Wolfsburg,2019-20
Sep 14 2019,1. FC Köln,0-1,Bor. Mönchengladbach,2019-20
Sep 14 2019,Borussia Dortmund,4-0,Bayer 04 Leverkusen,2019-20
Sep 14 2019,1. FSV Mainz 05,2-1,Hertha BSC,2019-20
Sep 14 2019,1. FC Union Berlin,1-2,Werder Bremen,2019-20
Sep 14 2019,FC Augsburg,2-1,Eintracht Frankfurt,2019-20
Sep 14 2019,RB Leipzig,1-1,Bayern Munich,2019-20
Sep 15 2019,TSG 1899 Hoffenheim,0-3,SC Freiburg,2019-20
Sep 15 2019,SC Paderborn 07,1-5,FC Schalke 04,2019-20
Sep 20 2019,FC Schalke 04,2-1,1. FSV Mainz 05,2019-20
Sep 21 2019,SC Freiburg,1-1,FC Augsburg,2019-20
Sep 21 2019,Bayer 04 Leverkusen,2-0,1. FC Union Berlin,2019-20
Sep 21 2019,Bayern Munich,4-0,1. FC Köln,2019-20
Sep 21 2019,Hertha BSC,2-1,SC Paderborn 07,2019-20
Sep 21 2019,Werder Bremen,0-3,RB Leipzig,2019-20
Sep 22 2019,Bor. Mönchengladbach,2-1,Fortuna Düsseldorf,2019-20
Sep 22 2019,Eintracht Frankfurt,2-2,Borussia Dortmund,2019-20
Sep 23 2019,VfL Wolfsburg,1-1,TSG 1899 Hoffenheim,2019-20
Sep 27 2019,1. FC Union Berlin,1-2,Eintracht Frankfurt,2019-20
Sep 28 2019,1. FSV Mainz 05,0-1,VfL Wolfsburg,2019-20
Sep 28 2019,FC Augsburg,0-3,Bayer 04 Leverkusen,2019-20
Sep 28 2019,SC Paderborn 07,2-3,Bayern Munich,2019-20
Sep 28 2019,TSG 1899 Hoffenheim,0-3,Bor. Mönchengladbach,2019-20
Sep 28 2019,RB Leipzig,1-3,FC Schalke 04,2019-20
Sep 28 2019,Borussia Dortmund,2-2,Werder Bremen,2019-20
Sep 29 2019,Fortuna Düsseldorf,1-2,SC Freiburg,2019-20
Sep 29 2019,1. FC Köln,0-4,Hertha BSC,2019-20
Oct 4 2019,Hertha BSC,3-1,Fortuna Düsseldorf,2019-20
Oct 5 2019,FC Schalke 04,1-1,1. FC Köln,2019-20
Oct 5 2019,SC Freiburg,2-2,Borussia Dortmund,2019-20
Oct 5 2019,Bayer 04 Leverkusen,1-1,RB Leipzig,2019-20
Oct 5 2019,Bayern Munich,1-2,TSG 1899 Hoffenheim,2019-20
Oct 5 2019,SC Paderborn 07,1-2,1. FSV Mainz 05,2019-20
Oct 6 2019,Bor. Mönchengladbach,5-1,FC Augsburg,2019-20
Oct 6 2019,VfL Wolfsburg,1-0,1. FC Union Berlin,2019-20
Oct 6 2019,Eintracht Frankfurt,2-2,Werder Bremen,2019-20
Oct 18 2019,Eintracht Frankfurt,3-0,Bayer 04 Leverkusen,2019-20
Oct 19 2019,Werder Bremen,1-1,Hertha BSC,2019-20
Oct 19 2019,Fortuna Düsseldorf,1-0,1. FSV Mainz 05,2019-20
Oct 19 2019,Borussia Dortmund,1-0,Bor. Mönchengladbach,2019-20
Oct 19 2019,RB Leipzig,1-1,VfL Wolfsburg,2019-20
Oct 19 2019,1. FC Union Berlin,2-0,SC Freiburg,2019-20
Oct 19 2019,FC Augsburg,2-2,Bayern Munich,2019-20
Oct 20 2019,1. FC Köln,3-0,SC Paderborn 07,2019-20
Oct 20 2019,TSG 1899 Hoffenheim,2-0,FC Schalke 04,2019-20
Oct 25 2019,1. FSV Mainz 05,3-1,1. FC Köln,2019-20
Oct 26 2019,Hertha BSC,2-3,TSG 1899 Hoffenheim,2019-20
Oct 26 2019,SC Paderborn 07,2-0,Fortuna Düsseldorf,2019-20
Oct 26 2019,FC Schalke 04,0-0,Borussia Dortmund,2019-20
Oct 26 2019,SC Freiburg,2-1,RB Leipzig,2019-20
Oct 26 2019,Bayer 04 Leverkusen,2-2,Werder Bremen,2019-20
Oct 26 2019,Bayern Munich,2-1,1. FC Union Berlin,2019-20
Oct 27 2019,Bor. Mönchengladbach,4-2,Eintracht Frankfurt,2019-20
Oct 27 2019,VfL Wolfsburg,0-0,FC Augsburg,2019-20
Nov 1 2019,TSG 1899 Hoffenheim,3-0,SC Paderborn 07,2019-20
Nov 2 2019,RB Leipzig,8-0,1. FSV Mainz 05,2019-20
Nov 2 2019,Werder Bremen,2-2,SC Freiburg,2019-20
Nov 2 2019,Bayer 04 Leverkusen,1-2,Bor. Mönchengladbach,2019-20
Nov 2 2019,Borussia Dortmund,3-0,VfL Wolfsburg,2019-20
Nov 2 2019,Eintracht Frankfurt,5-1,Bayern Munich,2019-20
Nov 2 2019,1. FC Union Berlin,1-0,Hertha BSC,2019-20
Nov 3 2019,Fortuna Düsseldorf,2-0,1. FC Köln,2019-20
Nov 3 2019,FC Augsburg,2-3,FC Schalke 04,2019-20
Nov 8 2019,1. FC Köln,1-2,TSG 1899 Hoffenheim,2019-20
Nov 9 2019,FC Schalke 04,3-3,Fortuna Düsseldorf,2019-20
Nov 9 2019,Bayern Munich,4-0,Borussia Dortmund,2019-20
Nov 9 2019,Hertha BSC,2-4,RB Leipzig,2019-20
Nov 9 2019,1. FSV Mainz 05,2-3,1. FC Union Berlin,2019-20
Nov 9 2019,SC Paderborn 07,0-1,FC Augsburg,2019-20
Nov 10 2019,SC Freiburg,1-0,Eintracht Frankfurt,2019-20
Nov 10 2019,VfL Wolfsburg,0-2,Bayer 04 Leverkusen,2019-20
Nov 10 2019,Bor. Mönchengladbach,3-1,Werder Bremen,2019-20
Nov 22 2019,Borussia Dortmund,3-3,SC Paderborn 07,2019-20
Nov 23 2019,RB Leipzig,4-1,1. FC Köln,2019-20
Nov 23 2019,Werder Bremen,1-2,FC Schalke 04,2019-20
Nov 23 2019,Bayer 04 Leverkusen,1-1,SC Freiburg,2019-20
Nov 23 2019,Fortuna Düsseldorf,0-4,Bayern Munich,2019-20
Nov 23 2019,Eintracht Frankfurt,0-2,VfL Wolfsburg,2019-20
Nov 23 2019,1. FC Union Berlin,2-0,Bor. Mönchengladbach,2019-20
Nov 24 2019,FC Augsburg,4-0,Hertha BSC,2019-20
Nov 24 2019,TSG 1899 Hoffenheim,1-5,1. FSV Mainz 05,2019-20
Nov 29 2019,FC Schalke 04,2-1,1. FC Union Berlin,2019-20
Nov 30 2019,TSG 1899 Hoffenheim,1-1,Fortuna Düsseldorf,2019-20
Nov 30 2019,Hertha BSC,1-2,Borussia Dortmund,2019-20
Nov 30 2019,1. FC Köln,1-1,FC Augsburg,2019-20
Nov 30 2019,SC Paderborn 07,2-3,RB Leipzig,2019-20
Nov 30 2019,Bayern Munich,1-2,Bayer 04 Leverkusen,2019-20
Dec 1 2019,Bor. Mönchengladbach,4-2,SC Freiburg,2019-20
Dec 1 2019,VfL Wolfsburg,2-3,Werder Bremen,2019-20
Dec 2 2019,1. FSV Mainz 05,2-1,Eintracht Frankfurt,2019-20
Dec 6 2019,Eintracht Frankfurt,2-2,Hertha BSC,2019-20
Dec 7 2019,Borussia Dortmund,5-0,Fortuna Düsseldorf,2019-20
Dec 7 2019,RB Leipzig,3-1,TSG 1899 Hoffenheim,2019-20
Dec 7 2019,Bor. Mönchengladbach,2-1,Bayern Munich,2019-20
Dec 7 2019,SC Freiburg,1-0,VfL Wolfsburg,2019-20
Dec 7 2019,FC Augsburg,2-1,1. FSV Mainz 05,2019-20
Dec 7 2019,Bayer 04 Leverkusen,2-1,FC Schalke 04,2019-20
Dec 8 2019,1. FC Union Berlin,2-0,1. FC Köln,2019-20
Dec 8 2019,Werder Bremen,0-1,SC Paderborn 07,2019-20
Dec 13 2019,TSG 1899 Hoffenheim,2-4,FC Augsburg,2019-20
Dec 14 2019,Bayern Munich,6-1,Werder Bremen,2019-20
Dec 14 2019,Hertha BSC,1-0,SC Freiburg,2019-20
Dec 14 2019,1. FSV Mainz 05,0-4,Borussia Dortmund,2019-20
Dec 14 2019,1. FC Köln,2-0,Bayer 04 Leverkusen,2019-20
Dec 14 2019,SC Paderborn 07,1-1,1. FC Union Berlin,2019-20
Dec 14 2019,Fortuna Düsseldorf,0-3,RB Leipzig,2019-20
Dec 15 2019,VfL Wolfsburg,2-1,Bor. Mönchengladbach,2019-20
Dec 15 2019,FC Schalke 04,1-0,Eintracht Frankfurt,2019-20
Dec 17 2019,Werder Bremen,0-5,1. FSV Mainz 05,2019-20
Dec 17 2019,Borussia Dortmund,3-3,RB Leipzig,2019-20
Dec 17 2019,FC Augsburg,3-0,Fortuna Düsseldorf,2019-20
Dec 17 2019,1. FC Union Berlin,0-2,TSG 1899 Hoffenheim,2019-20
Dec 18 2019,Bayer 04 Leverkusen,0-1,Hertha BSC,2019-20
Dec 18 2019,SC Freiburg,1-3,Bayern Munich,2019-20
Dec 18 2019,Bor. Mönchengladbach,2-0,SC Paderborn 07,2019-20
Dec 18 2019,VfL Wolfsburg,1-1,FC Schalke 04,2019-20
Dec 18 2019,Eintracht Frankfurt,2-4,1. FC Köln,2019-20
Dec 20 2019,TSG 1899 Hoffenheim,2-1,Borussia Dortmund,2019-20
Dec 21 2019,Bayern Munich,2-0,VfL Wolfsburg,2019-20
Dec 21 2019,RB Leipzig,3-1,FC Augsburg,2019-20
Dec 21 2019,1. FSV Mainz 05,0-1,Bayer 04 Leverkusen,2019-20
Dec 21 2019,FC Schalke 04,2-2,SC Freiburg,2019-20
Dec 21 2019,1. FC Köln,1-0,Werder Bremen,2019-20
Dec 21 2019,Hertha BSC,0-0,Bor. Mönchengladbach,2019-20
Dec 22 2019,Fortuna Düsseldorf,2-1,1. FC Union Berlin,2019-20
Dec 22 2019,SC Paderborn 07,2-1,Eintracht Frankfurt,2019-20
Jan 17 2020,FC Schalke 04,2-0,Bor. Mönchengladbach,2019-20
Jan 18 2020,TSG 1899 Hoffenheim,1-2,Eintracht Frankfurt,2019-20
Jan 18 2020,Fortuna Düsseldorf,0-1,Werder Bremen,2019-20
Jan 18 2020,1. FSV Mainz 05,1-2,SC Freiburg,2019-20
Jan 18 2020,FC Augsburg,3-5,Borussia Dortmund,2019-20
Jan 18 2020,1. FC Köln,3-1,VfL Wolfsburg,2019-20
Jan 18 2020,RB Leipzig,3-1,1. FC Union Berlin,2019-20
Jan 19 2020,Hertha BSC,0-4,Bayern Munich,2019-20
Jan 19 2020,SC Paderborn 07,1-4,Bayer 04 Leverkusen,2019-20
Jan 24 2020,Borussia Dortmund,5-1,1. FC Köln,2019-20
Jan 25 2020,SC Freiburg,0-2,SC Paderborn 07,2019-20
Jan 25 2020,Bayern Munich,5-0,FC Schalke 04,2019-20
Jan 25 2020,Bor. Mönchengladbach,3-1,1. FSV Mainz 05,2019-20
Jan 25 2020,VfL Wolfsburg,1-2,Hertha BSC,2019-20
Jan 25 2020,Eintracht Frankfurt,2-0,RB Leipzig,2019-20
Jan 25 2020,1. FC Union Berlin,2-0,FC Augsburg,2019-20
Jan 26 2020,Werder Bremen,0-3,TSG 1899 Hoffenheim,2019-20
Jan 26 2020,Bayer 04 Leverkusen,3-0,Fortuna Düsseldorf,2019-20
Jan 31 2020,Hertha BSC,0-0,FC Schalke 04,2019-20
Feb 1 2020,Fortuna Düsseldorf,1-1,Eintracht Frankfurt,2019-20
Feb 1 2020,Borussia Dortmund,5-0,1. FC Union Berlin,2019-20
Feb 1 2020,1. FSV Mainz 05,1-3,Bayern Munich,2019-20
Feb 1 2020,FC Augsburg,2-1,Werder Bremen,2019-20
Feb 1 2020,TSG 1899 Hoffenheim,2-1,Bayer 04 Leverkusen,2019-20
Feb 1 2020,RB Leipzig,2-2,Bor. Mönchengladbach,2019-20
Feb 2 2020,1. FC Köln,4-0,SC Freiburg,2019-20
Feb 2 2020,SC Paderborn 07,2-4,VfL Wolfsburg,2019-20
Feb 7 2020,Eintracht Frankfurt,5-0,FC Augsburg,2019-20
Feb 8 2020,FC Schalke 04,1-1,SC Paderborn 07,2019-20
Feb 8 2020,Werder Bremen,0-2,1. FC Union Berlin,2019-20
Feb 8 2020,SC Freiburg,1-0,TSG 1899 Hoffenheim,2019-20
Feb 8 2020,Bayer 04 Leverkusen,4-3,Borussia Dortmund,2019-20
Feb 8 2020,VfL Wolfsburg,1-1,Fortuna Düsseldorf,2019-20
Feb 8 2020,Hertha BSC,1-3,1. FSV Mainz 05,2019-20
Feb 9 2020,Bayern Munich,0-0,RB Leipzig,2019-20
Feb 14 2020,Borussia Dortmund,4-0,Eintracht Frankfurt,2019-20
Feb 15 2020,Fortuna Düsseldorf,1-4,Bor. Mönchengladbach,2019-20
Feb 15 2020,1. FC Union Berlin,2-3,Bayer 04 Leverkusen,2019-20
Feb 15 2020,FC Augsburg,1-1,SC Freiburg,2019-20
Feb 15 2020,SC Paderborn 07,1-2,Hertha BSC,2019-20
Feb 15 2020,TSG 1899 Hoffenheim,2-3,VfL Wolfsburg,2019-20
Feb 15 2020,RB Leipzig,3-0,Werder Bremen,2019-20
Feb 16 2020,1. FC Köln,1-4,Bayern Munich,2019-20
Feb 16 2020,1. FSV Mainz 05,0-0,FC Schalke 04,2019-20
Feb 21 2020,Bayern Munich,3-2,SC Paderborn 07,2019-20
Feb 22 2020,FC Schalke 04,0-5,RB Leipzig,2019-20
Feb 22 2020,Werder Bremen,0-2,Borussia Dortmund,2019-20
Feb 22 2020,SC Freiburg,0-2,Fortuna Düsseldorf,2019-20
Feb 22 2020,Bor. Mönchengladbach,1-1,TSG 1899 Hoffenheim,2019-20
Feb 22 2020,Hertha BSC,0-5,1. FC Köln,2019-20
Feb 23 2020,VfL Wolfsburg,4-0,1. FSV Mainz 05,2019-20
Feb 23 2020,Bayer 04 Leverkusen,2-0,FC Augsburg,2019-20
Feb 24 2020,Eintracht Frankfurt,1-2,1. FC Union Berlin,2019-20
Feb 28 2020,Fortuna Düsseldorf,3-3,Hertha BSC,2019-20
Feb 29 2020,1. FC Köln,3-0,FC Schalke 04,2019-20
Feb 29 2020,Borussia Dortmund,1-0,SC Freiburg,2019-20
Feb 29 2020,1. FSV Mainz 05,2-0,SC Paderborn 07,2019-20
Feb 29 2020,FC Augsburg,2-3,Bor. Mönchengladbach,2019-20
Feb 29 2020,TSG 1899 Hoffenheim,0-6,Bayern Munich,2019-20
Mar 1 2020,1. FC Union Berlin,2-2,VfL Wolfsburg,2019-20
Mar 1 2020,RB Leipzig,1-1,Bayer 04 Leverkusen,2019-20
Mar 6 2020,SC Paderborn 07,1-2,1. FC Köln,2019-20
Mar 7 2020,FC Schalke 04,1-1,TSG 1899 Hoffenheim,2019-20
Mar 7 2020,SC Freiburg,3-1,1. FC Union Berlin,2019-20
Mar 7 2020,Bayer 04 Leverkusen,4-0,Eintracht Frankfurt,2019-20
Mar 7 2020,Bor. Mönchengladbach,1-2,Borussia Dortmund,2019-20
Mar 7 2020,VfL Wolfsburg,0-0,RB Leipzig,2019-20
Mar 7 2020,Hertha BSC,2-2,Werder Bremen,2019-20
Mar 8 2020,1. FSV Mainz 05,1-1,Fortuna Düsseldorf,2019-20
Mar 8 2020,Bayern Munich,2-0,FC Augsburg,2019-20
